Symbol,Company Name,Industry
ASKAUTOLTD.NS,ASK Automotive Ltd.,Automobile and Auto Components
AXISCADES.NS,AXISCADES Technologies Ltd.,Capital Goods
AARTIDRUGS.NS,Aarti Drugs Ltd.,Healthcare
AARTIPHARM.NS,Aarti Pharmalabs Ltd.,Healthcare
AVL.NS,Aditya Vision Ltd.,Consumer Services
ADVENZYMES.NS,Advanced Enzyme Tech Ltd.,Healthcare
AEQUS.NS,Aequs Ltd.,Capital Goods
AETHER.NS,Aether Industries Ltd.,Chemicals
AHLUCONT.NS,Ahluwalia Contracts (India) Ltd.,Construction
AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare
APLLTD.NS,Alembic Pharmaceuticals Ltd.,Healthcare
ALIVUS.NS,Alivus Life Sciences Ltd.,Healthcare
ALKYLAMINE.NS,Alkyl Amines Chemicals Ltd.,Chemicals
ALOKINDS.NS,Alok Industries Ltd.,Textiles
APOLLO.NS,Apollo Micro Systems Ltd.,Capital Goods
ACI.NS,Archean Chemical Industries Ltd.,Chemicals
ARVINDFASN.NS,Arvind Fashions Ltd.,Consumer Services
ARVIND.NS,Arvind Ltd.,Textiles
ASHAPURMIN.NS,Ashapura Minechem Ltd.,Metals & Mining
ASHOKA.NS,Ashoka Buildcon Ltd.,Construction
ASTRAMICRO.NS,Astra Microwave Products Ltd.,Capital Goods
ATLANTAELE.NS,Atlanta Electricals Ltd.,Capital Goods
AURIONPRO.NS,Aurionpro Solution Ltd.,Information Technology
AVALON.NS,Avalon Technologies Ltd.,Capital Goods
AVANTIFEED.NS,Avanti Feeds Ltd.,Fast Moving Consumer Goods
CCAVENUE.NS,AvenuesAI Ltd.,Financial Services
AWFIS.NS,Awfis Space Solutions Ltd.,Services
AZAD.NS,Azad Engineering Ltd.,Capital Goods
BAJAJELEC.NS,Bajaj Electricals Ltd,Consumer Durables
BALAMINES.NS,Balaji Amines Ltd.,Chemicals
BALUFORGE.NS,Balu Forge Industries Ltd.,Capital Goods
BANCOINDIA.NS,Banco Products (India) Ltd.,Automobile and Auto Components
BIRLACORPN.NS,Birla Corporation Ltd.,Construction Materials
BBOX.NS,Black Box Ltd.,Information Technology
BLACKBUCK.NS,Blackbuck Ltd.,Services
BLUESTONE.NS,BlueStone Jewellery and Lifestyle Ltd.,Consumer Durables
BORORENEW.NS,Borosil Renewables Ltd.,Capital Goods
CMSINFO.NS,CMS Info Systems Ltd.,Services
