Symbol,Company Name,Industry
360ONE.NS,360 ONE WAM Ltd.,Financial Services
3MINDIA.NS,3M India Ltd.,Diversified
AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services
AARTIDRUGS.NS,Aarti Drugs Ltd.,Healthcare
AARTIIND.NS,Aarti Industries Ltd.,Chemicals
AARTIPHARM.NS,Aarti Pharmalabs Ltd.,Healthcare
AAVAS.NS,Aavas Financiers Ltd.,Financial Services
ABBOTINDIA.NS,Abbott India Ltd.,Healthcare
ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services
ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services
ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Services
ABREL.NS,Aditya Birla Real Estate Ltd.,Forest Materials
ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services
ACC.NS,ACC Ltd.,Construction Materials
ACE.NS,Action Construction Equipment Ltd.,Capital Goods
ACI.NS,Archean Chemical Industries Ltd.,Chemicals
ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power
ADVENZYMES.NS,Advanced Enzyme Tech Ltd.,Healthcare
AEGISLOG.NS,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels
AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels
AEQUS.NS,Aequs Ltd.,Capital Goods
AETHER.NS,Aether Industries Ltd.,Chemicals
AFCONS.NS,Afcons Infrastructure Ltd.,Construction
AFFLE.NS,Affle 3i Ltd.,Information Technology
AGARWALEYE.NS,Dr. Agarwal's Health Care Ltd.,Healthcare
AGARWALEYE.NS,Dr. Agarwal's Health Care Ltd.,Healthcare
AHLUCONT.NS,Ahluwalia Contracts (India) Ltd.,Construction
AIAENG.NS,AIA Engineering Ltd.,Capital Goods
AIIL.NS,Authum Investment & Infrastructure Ltd.,Financial Services
AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,Healthcare
AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare
AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare
AKZOINDIA.NS,Akzo Nobel India Ltd.,Consumer Durables
ALIVUS.NS,Alivus Life Sciences Ltd.,Healthcare
ALKEM.NS,Alkem Laboratories Ltd.,Healthcare
ALKYLAMINE.NS,Alkyl Amines Chemicals Ltd.,Chemicals
ALKYLAMINE.NS,Alkyl Amines Chemicals Ltd.,Chemicals
ALOKINDS.NS,Alok Industries Ltd.,Textiles
ALOKINDS.NS,Alok Industries Ltd.,Textiles
AMBER.NS,Amber Enterprises India Ltd.,Consumer Durables
ANANDRATHI.NS,Anand Rathi Wealth Ltd.,Financial Services
ANANTRAJ.NS,Anant Raj Ltd.,Realty
ANGELONE.NS,Angel One Ltd.,Financial Services
ANUP.NS,The Anup Engineering Ltd.,Capital Goods
APARINDS.NS,Apar Industries Ltd.,Capital Goods
APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods
APLLTD.NS,Alembic Pharmaceuticals Ltd.,Healthcare
APLLTD.NS,Alembic Pharmaceuticals Ltd.,Healthcare
APOLLO.NS,Apollo Micro Systems Ltd.,Capital Goods
APOLLOTYRE.NS,Apollo Tyres Ltd.,Automobile and Auto Components
APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services
ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components
ARVIND.NS,Arvind Ltd.,Textiles
ARVINDFASN.NS,Arvind Fashions Ltd.,Consumer Services
ASAHIINDIA.NS,Asahi India Glass Ltd.,Automobile and Auto Components
ASHAPURMIN.NS,Ashapura Minechem Ltd.,Metals & Mining
ASHOKA.NS,Ashoka Buildcon Ltd.,Construction
ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods
ASKAUTOLTD.NS,ASK Automotive Ltd.,Automobile and Auto Components
ASTERDM.NS,Aster DM Healthcare Ltd.,Healthcare
ASTRAL.NS,Astral Ltd.,Capital Goods
ASTRAMICRO.NS,Astra Microwave Products Ltd.,Capital Goods
ASTRAZEN.NS,AstraZenca Pharma India Ltd.,Healthcare
ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
ATHERENERG.NS,Ather Energy Ltd.,Automobile and Auto Components
ATLANTAELE.NS,Atlanta Electricals Ltd.,Capital Goods
ATUL.NS,Atul Ltd.,Chemicals
AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services
AURIONPRO.NS,Aurionpro Solution Ltd.,Information Technology
AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare
AVALON.NS,Avalon Technologies Ltd.,Capital Goods
AVANTIFEED.NS,Avanti Feeds Ltd.,Fast Moving Consumer Goods
AVL.NS,Aditya Vision Ltd.,Consumer Services
AWFIS.NS,Awfis Space Solutions Ltd.,Services
AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods
AXISCADES.NS,AXISCADES Technologies Ltd.,Capital Goods
AZAD.NS,Azad Engineering Ltd.,Capital Goods
BAJAJELEC.NS,Bajaj Electricals Ltd,Consumer Durables
BALAMINES.NS,Balaji Amines Ltd.,Chemicals
BALKRISIND.NS,Balkrishna Industries Ltd.,Automobile and Auto Components
BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods
BALUFORGE.NS,Balu Forge Industries Ltd.,Capital Goods
BANCOINDIA.NS,Banco Products (India) Ltd.,Automobile and Auto Components
BANDHANBNK.NS,Bandhan Bank Ltd.,Financial Services
BANKINDIA.NS,Bank of India,Financial Services
BASF.NS,BASF India Ltd.,Chemicals
BATAINDIA.NS,Bata India Ltd.,Consumer Durables
BAYERCROP.NS,Bayer Cropscience Ltd.,Chemicals
BBOX.NS,Black Box Ltd.,Information Technology
BBTC.NS,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods
BDL.NS,Bharat Dynamics Ltd.,Capital Goods
BECTORFOOD.NS,Mrs. Bectors Food Specialities Ltd.,Fast Moving Consumer Goods
BEML.NS,BEML Ltd.,Capital Goods
BERGEPAINT.NS,Berger Paints India Ltd.,Consumer Durables
BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components
BHARTIHEXA.NS,Bharti Hexacom Ltd.,Telecommunication
BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods
BIKAJI.NS,Bikaji Foods International Ltd.,Fast Moving Consumer Goods
BIOCON.NS,Biocon Ltd.,Healthcare
BIRLACORPN.NS,Birla Corporation Ltd.,Construction Materials
BLACKBUCK.NS,Blackbuck Ltd.,Services
BLS.NS,BLS International Services Ltd.,Consumer Services
BLUEDART.NS,Blue Dart Express Ltd.,Services
BLUEJET.NS,Blue Jet Healthcare Ltd.,Healthcare
BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables
BLUESTONE.NS,BlueStone Jewellery and Lifestyle Ltd.,Consumer Durables
BORORENEW.NS,Borosil Renewables Ltd.,Capital Goods
BRIGADE.NS,Brigade Enterprises Ltd.,Realty
BSE.NS,BSE Ltd.,Financial Services
BSOFT.NS,Birlasoft Ltd.,Information Technology
CAMPUS.NS,Campus Activewear Ltd.,Consumer Durables
CAMPUS.NS,Campus Activewear Ltd.,Consumer Durables
CAMS.NS,Computer Age Management Services Ltd.,Financial Services
CANFINHOME.NS,Can Fin Homes Ltd.,Financial Services
CAPILLARY.NS,Capillary Technologies India Ltd.,Information Technology
CAPLIPOINT.NS,Caplin Point Laboratories Ltd.,Healthcare
CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods
CASTROLIND.NS,Castrol India Ltd.,Oil Gas & Consumable Fuels
CCAVENUE.NS,AvenuesAI Ltd.,Financial Services
CCL.NS,CCL Products (I) Ltd.,Fast Moving Consumer Goods
CDSL.NS,Central Depository Services (India) Ltd.,Financial Services
CEATLTD.NS,Ceat Ltd.,Automobile and Auto Components
CELLO.NS,Cello World Ltd.,Consumer Durables
CENTRALBK.NS,Central Bank of India,Financial Services
CENTURYPLY.NS,Century Plyboards (India) Ltd.,Consumer Durables
CENTURYPLY.NS,Century Plyboards (India) Ltd.,Consumer Durables
CERA.NS,Cera Sanitaryware Ltd,Consumer Durables
CERA.NS,Cera Sanitaryware Ltd,Consumer Durables
CESC.NS,CESC Ltd.,Power
CGCL.NS,Capri Global Capital Ltd.,Financial Services
CHALET.NS,Chalet Hotels Ltd.,Consumer Services
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,Chemicals
CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
CHOICEIN.NS,Choice International Ltd.,Financial Services
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,Financial Services
CLEAN.NS,Clean Science and Technology Ltd.,Chemicals
CMSINFO.NS,CMS Info Systems Ltd.,Services
COCHINSHIP.NS,Cochin Shipyard Ltd.,Capital Goods
COFORGE.NS,Coforge Ltd.,Information Technology
COHANCE.NS,Cohance Lifesciences Ltd.,Healthcare
COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods
CONCOR.NS,Container Corporation of India Ltd.,Services
CONCORDBIO.NS,Concord Biotech Ltd.,Healthcare
COROMANDEL.NS,Coromandel International Ltd.,Chemicals
CORONA.NS,CORONA Remedies Ltd.,Healthcare
CRAFTSMAN.NS,Craftsman Automation Ltd.,Automobile and Auto Components
CRAMC.NS,Canara Robeco Asset Management Company Ltd.,Financial Services
CREDITACC.NS,CreditAccess Grameen Ltd.,Financial Services
CRISIL.NS,CRISIL Ltd.,Financial Services
CRIZAC.NS,Crizac Ltd.,Consumer Services
CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables
CSBBANK.NS,CSB Bank Ltd.,Financial Services
CUB.NS,City Union Bank Ltd.,Financial Services
CUMMINSIND.NS,Cummins India Ltd.,Capital Goods
CUPID.NS,Cupid Ltd.,Fast Moving Consumer Goods
CYIENT.NS,Cyient Ltd.,Information Technology
DABUR.NS,Dabur India Ltd.,Fast Moving Consumer Goods
DALBHARAT.NS,Dalmia Bharat Ltd.,Construction Materials
DATAMATICS.NS,Datamatics Global Services Ltd.,Information Technology
DATAPATTNS.NS,Data Patterns (India) Ltd.,Capital Goods
DBL.NS,Dilip Buildcon Ltd.,Construction
DBREALTY.NS,Valor Estate Ltd.,Realty
DBREALTY.NS,Valor Estate Ltd.,Consumer Services
DCBBANK.NS,DCB Bank Ltd.,Financial Services
DCMSHRIRAM.NS,DCM Shriram Ltd.,Diversified
